Scheme Code,Scheme Name,Scheme Category,Classification,Main Category,Sub Category,Flag,Commission
127470,Bandhan Banking and PSU Fund - Regular Daily IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
121931,Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
121280,Bandhan Banking and PSU Fund - Regular Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
121282,Bandhan Banking and PSU Fund - Regular IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
121932,Bandhan Banking and PSU Fund - Regular Monthly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
121937,Bandhan Banking and PSU Fund - Regular Quarterly IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Regular,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,TRUE,OFF
124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
124176,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,Open Ended Schemes ( Debt Scheme - Banking and PSU Fund ),Direct,Debt / Fixed Income,Banking and PSU Fund,FALSE,OFF
